BLUEPRINT_ID	Group	Sub-group	Sex	Cell type	Disease	URL
C006X8B2	cord blood	erythroblast	Male	erythroblast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C006X8/erythroblast/RNA-Seq/NCMLS_CU/C006X8B2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C0070XB2	cord blood	erythroblast	Female	erythroblast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C0070X/erythroblast/RNA-Seq/NCMLS_CU/C0070XB2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C07002T2	cord blood	common myeloid progenitor	Unknown	common myeloid progenitor	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C07002/common_myeloid_progenitor/RNA-Seq/NCMLS_CU/C07002T2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C07002T3	cord blood	granulocyte monocyte progenitor cell	Unknown	granulocyte monocyte progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C07002/granulocyte_monocyte_progenitor_cell/RNA-Seq/NCMLS_CU/C07002T3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C07002T1	cord blood	hematopoietic stem cell	Unknown	hematopoietic stem cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C07002/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/C07002T1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C07002T4	cord blood	megakaryocyte-erythroid progenitor cell	Unknown	megakaryocyte-erythroid progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C07002/megakaryocyte-erythroid_progenitor_cell/RNA-Seq/NCMLS_CU/C07002T4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C07015T2	cord blood	common lymphoid progenitor	Unknown	common lymphoid progenitor	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C07015/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/C07015T2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C07015T3	cord blood	common myeloid progenitor	Unknown	common myeloid progenitor	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C07015/common_myeloid_progenitor/RNA-Seq/NCMLS_CU/C07015T3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C07015T1	cord blood	hematopoietic multipotent progenitor cell	Unknown	hematopoietic multipotent progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C07015/hematopoietic_multipotent_progenitor_cell/RNA-Seq/NCMLS_CU/C07015T1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C07015T4	cord blood	megakaryocyte-erythroid progenitor cell	Unknown	megakaryocyte-erythroid progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C07015/megakaryocyte-erythroid_progenitor_cell/RNA-Seq/NCMLS_CU/C07015T4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C12001RP3	cord blood	common myeloid progenitor	Unknown	common myeloid progenitor	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C12001/common_myeloid_progenitor/RNA-Seq/NCMLS_CU/C12001RP3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C12001RP4	cord blood	granulocyte monocyte progenitor cell	Unknown	granulocyte monocyte progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C12001/granulocyte_monocyte_progenitor_cell/RNA-Seq/NCMLS_CU/C12001RP4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C12001RP1	cord blood	hematopoietic stem cell	Unknown	hematopoietic stem cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C12001/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/C12001RP1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
C12001RP2	cord blood	megakaryocyte-erythroid progenitor cell	Unknown	megakaryocyte-erythroid progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/C12001/megakaryocyte-erythroid_progenitor_cell/RNA-Seq/NCMLS_CU/C12001RP2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S000RD13	cord blood	CD14-positive, CD16-negative classical monocyte	Male	CD14-positive, CD16-negative classical monocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S000RD/CD14-positive_CD16-negative_classical_monocyte/RNA-Seq/MPIMG/S000RD13.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S000RD15	cord blood	CD4-positive, alpha-beta T cell	Male	CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S000RD/CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S000RD15.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S000SBB3	cord blood	common lymphoid progenitor	Male	common lymphoid progenitor	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S000SB/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/S000SBB3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0018AB4	cord blood	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	Female	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S0018A/CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell/RNA-Seq/NCMLS_CU/S0018AB4.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0018A13	cord blood	CD4-positive, alpha-beta T cell	Female	CD4-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S0018A/CD4-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S0018A13.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0018A12	cord blood	inflammatory macrophage	Female	inflammatory macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S0018A/inflammatory_macrophage/RNA-Seq/MPIMG/S0018A12.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00198B6	cord blood	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	Male	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00198/CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell/RNA-Seq/NCMLS_CU/S00198B6.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S001FXB1	cord blood	common lymphoid progenitor	Unknown	common lymphoid progenitor	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S001FX/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/S001FXB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S001FXB3	cord blood	hematopoietic multipotent progenitor cell	Unknown	hematopoietic multipotent progenitor cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S001FX/hematopoietic_multipotent_progenitor_cell/RNA-Seq/NCMLS_CU/S001FXB3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S001FXB2	cord blood	hematopoietic stem cell	Unknown	hematopoietic stem cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S001FX/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/S001FXB2.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S001QBB3	cord blood	common lymphoid progenitor	Unknown	common lymphoid progenitor	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S001QB/common_lymphoid_progenitor/RNA-Seq/NCMLS_CU/S001QBB3.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S001QBB1	cord blood	hematopoietic stem cell	Unknown	hematopoietic stem cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S001QB/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/S001QBB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S0025CB1	cord blood	hematopoietic stem cell	Unknown	hematopoietic stem cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S0025C/hematopoietic_stem_cell/RNA-Seq/NCMLS_CU/S0025CB1.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S002R512	cord blood	erythroblast	Male	erythroblast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S002R5/erythroblast/RNA-Seq/MPIMG/S002R512.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S002S312	cord blood	erythroblast	Female	erythroblast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S002S3/erythroblast/RNA-Seq/MPIMG/S002S312.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S004AV11	cord blood	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	Male	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S004AV/CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell/RNA-Seq/MPIMG/S004AV11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S004BT12	cord blood	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	Female	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S004BT/CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell/RNA-Seq/MPIMG/S004BT12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S007SK12	cord blood	inflammatory macrophage	Male	inflammatory macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S007SK/inflammatory_macrophage/RNA-Seq/MPIMG/S007SK12.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00BHQ12	cord blood	macrophage	Female	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00BHQ/macrophage/RNA-Seq/MPIMG/S00BHQ12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00BJM12	cord blood	endothelial cell of umbilical vein (proliferating)	Male	endothelial cell of umbilical vein (proliferating)	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00BJM/endothelial_cell_of_umbilical_vein_proliferating/RNA-Seq/MPIMG/S00BJM12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00BJM14	cord blood	endothelial cell of umbilical vein (resting)	Male	endothelial cell of umbilical vein (resting)	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00BJM/endothelial_cell_of_umbilical_vein_resting/RNA-Seq/MPIMG/S00BJM14.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00C1H12	cord blood	alternatively activated macrophage	Female	alternatively activated macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00C1H/alternatively_activated_macrophage/RNA-Seq/MPIMG/S00C1H12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00C2F11	cord blood	CD8-positive, alpha-beta T cell	Male	CD8-positive, alpha-beta T cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00C2F/CD8-positive_alpha-beta_T_cell/RNA-Seq/MPIMG/S00C2F11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00CP612	cord blood	conventional dendritic cell	Female	conventional dendritic cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00CP6/conventional_dendritic_cell/RNA-Seq/MPIMG/S00CP612.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00DCS12	cord blood	endothelial cell of umbilical vein (proliferating)	Female	endothelial cell of umbilical vein (proliferating)	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00DCS/endothelial_cell_of_umbilical_vein_proliferating/RNA-Seq/MPIMG/S00DCS12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00DCS14	cord blood	endothelial cell of umbilical vein (resting)	Female	endothelial cell of umbilical vein (resting)	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00DCS/endothelial_cell_of_umbilical_vein_resting/RNA-Seq/MPIMG/S00DCS14.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00DVR12	cord blood	macrophage	Male	macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00DVR/macrophage/RNA-Seq/MPIMG/S00DVR12.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00E8W12	cord blood	alternatively activated macrophage	Male	alternatively activated macrophage	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00E8W/alternatively_activated_macrophage/RNA-Seq/MPIMG/S00E8W12.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S00K3I11	cord blood	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	Female	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S00K3I/CD34-negative_CD41-positive_CD42-positive_megakaryocyte_cell/RNA-Seq/MPIMG/S00K3I11.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S015EB11	cord blood	conventional dendritic cell	Male	conventional dendritic cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S015EB/conventional_dendritic_cell/RNA-Seq/MPIMG/S015EB11.gene_quantification.rsem_grape2_crg.GRCh38.20151028.results
S01E8O11	cord blood	cytotoxic CD56-dim natural killer cell	Male	cytotoxic CD56-dim natural killer cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S01E8O/cytotoxic_CD56-dim_natural_killer_cell/RNA-Seq/MPIMG/S01E8O11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01FY511	cord blood	CD38-negative naive B cell	Male	CD38-negative naive B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/cord_blood/S01FY5/CD38-negative_naive_B_cell/RNA-Seq/MPIMG/S01FY511.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S0166N11	liver	blast forming unit erythroid	Unknown	blast forming unit erythroid	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/liver/1293-01/blast_forming_unit_erythroid/RNA-Seq/MPIMG/S0166N11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S0167L11	liver	colony forming unit erythroid	Unknown	colony forming unit erythroid	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/liver/1293-02/colony_forming_unit_erythroid/RNA-Seq/MPIMG/S0167L11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S0168J11	liver	erythroblast	Unknown	erythroblast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/liver/S0168J/erythroblast/RNA-Seq/MPIMG/S0168J11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S0169H11	liver	late basophilic and polychromatophilic erythroblast	Unknown	late basophilic and polychromatophilic erythroblast	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/liver/S0169H/late_basophilic_and_polychromatophilic_erythroblast/RNA-Seq/MPIMG/S0169H11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
EC-TH91	thymus	CD3-negative, CD4-positive, CD8-positive, double positive thymocyte	Male	CD3-negative, CD4-positive, CD8-positive, double positive thymocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/thymus/TH91/CD3-negative_CD4-positive_CD8-positive_double_positive_thymocyte/RNA-Seq/MPIMG/EC-TH91.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
LC-TH91	thymus	CD3-positive, CD4-positive, CD8-positive, double positive thymocyte	Male	CD3-positive, CD4-positive, CD8-positive, double positive thymocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/thymus/TH91/CD3-positive_CD4-positive_CD8-positive_double_positive_thymocyte/RNA-Seq/MPIMG/LC-TH91.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
SP4-TH91	thymus	CD4-positive, alpha-beta thymocyte	Male	CD4-positive, alpha-beta thymocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/thymus/TH91/CD4-positive_alpha-beta_thymocyte/RNA-Seq/MPIMG/SP4-TH91.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
SP8-TH91	thymus	CD8-positive, alpha-beta thymocyte	Male	CD8-positive, alpha-beta thymocyte	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/thymus/TH91/CD8-positive_alpha-beta_thymocyte/RNA-Seq/MPIMG/SP8-TH91.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
T12-15-PC	tonsil	plasma cell	Unknown	plasma cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T12-15/plasma_cell/RNA-Seq/IDIBAPS/T12-15-PC.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
T12-16-PC	tonsil	plasma cell	Unknown	plasma cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T12-16/plasma_cell/RNA-Seq/IDIBAPS/T12-16-PC.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
T12-17-PC	tonsil	plasma cell	Unknown	plasma cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T12-17/plasma_cell/RNA-Seq/IDIBAPS/T12-17-PC.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
T12-18-PC	tonsil	plasma cell	Unknown	plasma cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T12-18/plasma_cell/RNA-Seq/IDIBAPS/T12-18-PC.gene_quantification.rsem_grape2_crg.GRCh38.20150622.results
S00Y9O11	tonsil	germinal center B cell	Female	germinal center B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T14_10/germinal_center_B_cell/RNA-Seq/MPIMG/S00Y9O11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00Y8Q11	tonsil	plasma cell	Female	plasma cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T14_10/plasma_cell/RNA-Seq/MPIMG/S00Y8Q11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S013AR11	tonsil	germinal center B cell	Male	germinal center B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T14_11/germinal_center_B_cell/RNA-Seq/MPIMG/S013AR11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S0139T11	tonsil	plasma cell	Male	plasma cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T14_11/plasma_cell/RNA-Seq/MPIMG/S0139T11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01GJV11	tonsil	naive B cell	Female	naive B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T15_13/naive_B_cell/RNA-Seq/MPIMG/S01GJV11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01NDF11	tonsil	naive B cell	Female	naive B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T15_15/naive_B_cell/RNA-Seq/MPIMG/S01NDF11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S019FU11	tonsil	germinal center B cell	Female	germinal center B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T15_3/germinal_center_B_cell/RNA-Seq/MPIMG/S019FU11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S019GS11	tonsil	plasma cell	Female	plasma cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T15_3/plasma_cell/RNA-Seq/MPIMG/S019GS11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S019EW11	tonsil	naive B cell	Male	naive B cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/tonsil/T15_6/naive_B_cell/RNA-Seq/MPIMG/S019EW11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01FJZ11	venous blood	Mantle Cell Lymphoma	Female	NA	Mantle Cell Lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/007MCL/Mantle_Cell_Lymphoma/RNA-Seq/MPIMG/S01FJZ11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00AYX11	venous blood	Chronic Lymphocytic Leukemia	Female	NA	Chronic Lymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/110CLL/Chronic_Lymphocytic_Leukemia/RNA-Seq/MPIMG/S00AYX11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01FG411	venous blood	Chronic Lymphocytic Leukemia	Male	NA	Chronic Lymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/1228CLL/Chronic_Lymphocytic_Leukemia/RNA-Seq/MPIMG/S01FG411.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00B0N11	venous blood	Chronic Lymphocytic Leukemia	Female	NA	Chronic Lymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/12CLL/Chronic_Lymphocytic_Leukemia/RNA-Seq/MPIMG/S00B0N11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00B2J11	venous blood	Chronic Lymphocytic Leukemia	Male	NA	Chronic Lymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/1525CLL/Chronic_Lymphocytic_Leukemia/RNA-Seq/MPIMG/S00B2J11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00GPR11	venous blood	Chronic Lymphocytic Leukemia	Male	NA	Chronic Lymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/1532CLL/Chronic_Lymphocytic_Leukemia/RNA-Seq/MPIMG/S00GPR11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00B1L11	venous blood	Chronic Lymphocytic Leukemia	Unknown	NA	Chronic Lymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/182CLL/Chronic_Lymphocytic_Leukemia/RNA-Seq/MPIMG/S00B1L11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01FKX11	venous blood	Mantle Cell Lymphoma	Male	NA	Mantle Cell Lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/2392MCL/Mantle_Cell_Lymphoma/RNA-Seq/MPIMG/S01FKX11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00AXZ11	venous blood	Chronic Lymphocytic Leukemia	Male	NA	Chronic Lymphocytic Leukemia	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/3CLL/Chronic_Lymphocytic_Leukemia/RNA-Seq/MPIMG/S00AXZ11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01FE811	venous blood	Mantle Cell Lymphoma	Male	NA	Mantle Cell Lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/6902MCL/Mantle_Cell_Lymphoma/RNA-Seq/MPIMG/S01FE811.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01FF611	venous blood	Mantle Cell Lymphoma	Male	NA	Mantle Cell Lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/817-03MCL/Mantle_Cell_Lymphoma/RNA-Seq/MPIMG/S01FF611.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S01FH211	venous blood	Mantle Cell Lymphoma	Male	NA	Mantle Cell Lymphoma	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/8761MCL/Mantle_Cell_Lymphoma/RNA-Seq/MPIMG/S01FH211.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00TU211	venous blood	immature conventional dendritic cell - GM-CSF_IL4_T=6_days	Male	immature conventional dendritic cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/B270/immature_conventional_dendritic_cell_-_GM-CSF_IL4_T_6_days/RNA-Seq/MPIMG/S00TU211.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00TXX11	venous blood	mature conventional dendritic cell - GM-CSF_IL4_T=6_days_R848_T=24hrs	Male	mature conventional dendritic cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/B270/mature_conventional_dendritic_cell_-_GM-CSF_IL4_T_6_days_R848_T_24hrs/RNA-Seq/MPIMG/S00TXX11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00TV011	venous blood	immature conventional dendritic cell - GM-CSF_IL4_T=6_days	Male	immature conventional dendritic cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/B271/immature_conventional_dendritic_cell_-_GM-CSF_IL4_T_6_days/RNA-Seq/MPIMG/S00TV011.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
S00TYV11	venous blood	mature conventional dendritic cell - GM-CSF_IL4_T=6_days_R848_T=24hrs	Male	mature conventional dendritic cell	None	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/B271/mature_conventional_dendritic_cell_-_GM-CSF_IL4_T_6_days_R848_T_24hrs/RNA-Seq/MPIMG/S00TYV11.gene_quantification.rsem_grape2_crg.GRCh38.20160531.results
